Year,Snow,City
1996, 122.4 cm ,Toronto
1997, 143.6 cm ,Toronto
1998, 61.5 cm ,Toronto
1999, 117.8 cm ,Toronto
2000, 135.7 cm ,Toronto
2001, 81.6 cm ,Toronto
2002, 114.9 cm ,Toronto
2003, 129.6 cm ,Toronto
2004, 134.9 cm ,Toronto
2005, 162.6 cm ,Toronto
2006, 32.4 cm ,Toronto
2007, 114.1 cm ,Toronto
2008, 216.5 cm ,Toronto
2009, 89.0 cm ,Toronto
2010, 45.6 cm ,Toronto
2011, 131.2 cm ,Toronto
2012, 49.2 cm ,Toronto
2013, 124.6 cm ,Toronto
2014, 141.0 cm ,Toronto
2015, 66.6 cm ,Toronto
2016, 107.1 cm ,Toronto
2017, 80.1 cm ,Toronto
2018, 92.8 cm ,Toronto
2019, 163.5 cm ,Toronto
2020, 152.0 cm ,Toronto
1996, 207.3 cm ,Hamilton
1997, 161.5 cm ,Hamilton
1998, 78.8 cm ,Hamilton
1999, 166.5 cm ,Hamilton
2000, 170.9 cm ,Hamilton
2001, 94.1 cm ,Hamilton
2002, 138.0 cm ,Hamilton
2003, 166.2 cm ,Hamilton
2004, 175.8 cm ,Hamilton
2005, 218.4 cm ,Hamilton
2006, 56.6 cm ,Hamilton
2007, 182.4 cm ,Hamilton
2008, 243.2 cm ,Hamilton
2009, 93.0 cm ,Hamilton
2010, 70.2 cm ,Hamilton
2011, 168.3 cm ,Hamilton
2012, 89.2 cm ,Hamilton
2013, 120.4 cm ,Hamilton
2014, 153.8 cm ,Hamilton
2015, 117.0 cm ,Hamilton
2016, 141.9 cm ,Hamilton
2017, 129.0 cm ,Hamilton
2018, 104.8 cm ,Hamilton
2019, 161.3 cm ,Hamilton
2020, 115.5 cm ,Hamilton
1996, 131.6 cm ,Montreal
1997, 351.6 cm ,Montreal
1998, 160.4 cm ,Montreal
1999, 171.7 cm ,Montreal
2000, 296.9 cm ,Montreal
2001, 225.5 cm ,Montreal
2002, 205.7 cm ,Montreal
2003, 181.7 cm ,Montreal
2004, 133.8 cm ,Montreal
2005, 188.8 cm ,Montreal
2006, 122.3 cm ,Montreal
2007, 325.9 cm ,Montreal
2008, 342.2 cm ,Montreal
2009, 173.1 cm ,Montreal
2010, 202.6 cm ,Montreal
2011, 186.2 cm ,Montreal
2012, 192.4 cm ,Montreal
2013, 151.0 cm ,Montreal
2014, 184.2 cm ,Montreal
2015, 189.2 cm ,Montreal
2016, 192.4 cm ,Montreal
2017, 235.0 cm ,Montreal
2018, 243.8 cm ,Montreal
2019, 235.6 cm ,Montreal
2020, 191.2 cm ,Montreal
1996, 193.4 cm ,Ottawa
1997, 346.0 cm ,Ottawa
1998, 146.0 cm ,Ottawa
1999, 240.2 cm ,Ottawa
2000, 278.6 cm ,Ottawa
2001, 202.8 cm ,Ottawa
2002, 246.5 cm ,Ottawa
2003, 223.9 cm ,Ottawa
2004, 188.9 cm ,Ottawa
2005, 196.2 cm ,Ottawa
2006, 149.3 cm ,Ottawa
2007, 302.8 cm ,Ottawa
2008, 374.1 cm ,Ottawa
2009, 165.0 cm ,Ottawa
2010, 111.1 cm ,Ottawa
2011, 183.2 cm ,Ottawa
2012, 193.0 cm ,Ottawa
2013, 277.4 cm ,Ottawa
2014, 166.6 cm ,Ottawa
2015, 176.8 cm ,Ottawa
2016, 312.9 cm ,Ottawa
2017, 258.4 cm ,Ottawa
2018, 247.4 cm ,Ottawa
2019, 269.7 cm ,Ottawa
2020, 190.6 cm ,Ottawa